Resource Category,Resource Type,Name,Description,visible,verified,tags,metricName,metricNamespace,severity,windowSize,evaluationFrequency,timeAggregation,operator,threshold,criterionType,dimensions,alertSensitivity,failingPeriods,metricMeasureColumn,resouceIdColumn,autoMitigate,references
Compute,virtualMachines,VmAvailabilityMetric,Measure of Availability of Virtual machines over time.,TRUE,TRUE,"auto-generated, agc-83394, hpc",VmAvailabilityMetric,Microsoft.Compute/virtualMachines,3,PT5M,PT5M,Average,LessThan,1,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,OS Disk Bandwidth Consumed Percentage,Percentage of operating system disk bandwidth consumed per minute. Only available on VM series that support premium storage.,TRUE,TRUE,"auto-generated, agc-9986",OS Disk Bandwidth Consumed Percentage,Microsoft.Compute/virtualMachines,2,PT1M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Inbound Flows,Inbound Flows are number of current flows in the inbound direction (traffic going into the VM),TRUE,FALSE,"auto-generated, agc-8620",Inbound Flows,Microsoft.Compute/virtualMachines,3,PT15M,PT15M,Average,GreaterThan,100000.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Data Disk Bandwidth Consumed Percentage,Percentage of data disk bandwidth consumed per minute. Only available on VM series that support premium storage.,TRUE,TRUE,"auto-generated, agc-8551",Data Disk Bandwidth Consumed Percentage,Microsoft.Compute/virtualMachines,3,PT1M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Outbound Flows,Outbound Flows are number of current flows in the outbound direction (traffic going out of the VM),TRUE,FALSE,"auto-generated, agc-8472",Outbound Flows,Microsoft.Compute/virtualMachines,3,PT15M,PT15M,Average,GreaterThan,100000.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Data Disk Queue Depth,Data Disk Queue Depth(or Queue Length),TRUE,FALSE,"auto-generated, agc-8619, hpc, agc-6701",Data Disk Queue Depth,Microsoft.Compute/virtualMachines,2,PT5M,PT1M,Average,GreaterThan,100.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,CPU Credits Remaining,Total number of credits available to burst. Only available on B-series burstable VMs,TRUE,FALSE,"auto-generated, agc-4417",CPU Credits Remaining,Microsoft.Compute/virtualMachines,3,PT5M,PT1M,Average,LessThan,5.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,OS Disk Queue Depth,OS Disk Queue Depth(or Queue Length),TRUE,FALSE,"auto-generated, agc-3666",OS Disk Queue Depth,Microsoft.Compute/virtualMachines,2,PT5M,PT5M,Average,GreaterThan,10.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,VM Cached IOPS Consumed Percentage,Percentage of cached disk IOPS consumed by the VM. Only available on VM series that support premium storage.,TRUE,TRUE,"auto-generated, agc-2736",VM Cached IOPS Consumed Percentage,Microsoft.Compute/virtualMachines,2,PT1M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,VM Cached Bandwidth Consumed Percentage,Percentage of cached disk bandwidth consumed by the VM. Only available on VM series that support premium storage.,TRUE,TRUE,"auto-generated, agc-2662",VM Cached Bandwidth Consumed Percentage,Microsoft.Compute/virtualMachines,2,PT1M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,VM Uncached IOPS Consumed Percentage,Percentage of uncached disk IOPS consumed by the VM. Only available on VM series that support premium storage.,TRUE,TRUE,"auto-generated, agc-2138",VM Uncached IOPS Consumed Percentage,Microsoft.Compute/virtualMachines,2,PT1M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,VM Uncached Bandwidth Consumed Percentage,Percentage of uncached disk bandwidth consumed by the VM. Only available on VM series that support premium storage.,TRUE,TRUE,"auto-generated, agc-2134",VM Uncached Bandwidth Consumed Percentage,Microsoft.Compute/virtualMachines,2,PT1M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Disk Write Operations/Sec,Disk Write IOPS,TRUE,FALSE,"auto-generated, agc-1534",Disk Write Operations/Sec,Microsoft.Compute/virtualMachines,3,PT1H,PT1M,Average,GreaterThan,10.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,OS Disk Write Bytes/sec,Bytes/Sec written to a single disk during monitoring period for OS disk,TRUE,FALSE,"auto-generated, agc-1023",OS Disk Write Bytes/sec,Microsoft.Compute/virtualMachines,3,PT5M,PT5M,Average,GreaterThan,48000000.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,CPU Credits Consumed,Total number of credits consumed by the Virtual Machine. Only available on B-series burstable VMs,TRUE,FALSE,"auto-generated, agc-1010",CPU Credits Consumed,Microsoft.Compute/virtualMachines,3,PT5M,PT1M,Average,GreaterThan,80.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Data Disk Write Bytes/sec,Bytes/Sec written to a single disk during monitoring period,TRUE,FALSE,"auto-generated, agc-960",Data Disk Write Bytes/sec,Microsoft.Compute/virtualMachines,3,PT5M,PT5M,Average,GreaterThan,10000000.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Disk Read Operations/Sec,Disk Read IOPS,TRUE,FALSE,"auto-generated, agc-674",Disk Read Operations/Sec,Microsoft.Compute/virtualMachines,3,PT5M,PT1M,Average,GreaterThan,400.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Data Disk Max Burst IOPS,Maximum IOPS Data Disk can achieve with bursting,TRUE,FALSE,"auto-generated, agc-458",Data Disk Max Burst IOPS,Microsoft.Compute/virtualMachines,3,PT1H,PT30M,Average,GreaterThan,3750.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Data Disk Read Operations/Sec,Read IOPS from a single disk during monitoring period,TRUE,FALSE,"auto-generated, agc-442",Data Disk Read Operations/Sec,Microsoft.Compute/virtualMachines,1,PT5M,PT5M,Average,GreaterThan,100.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Disk Write Bytes,Bytes written to disk during monitoring period,TRUE,FALSE,"auto-generated, agc-367",Disk Write Bytes,Microsoft.Compute/virtualMachines,3,PT5M,PT1M,Total,GreaterThan,3500000000.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Data Disk Write Operations/Sec,Write IOPS from a single disk during monitoring period,TRUE,FALSE,"auto-generated, agc-341",Data Disk Write Operations/Sec,Microsoft.Compute/virtualMachines,0,PT5M,PT5M,Average,GreaterThan,50.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,OS Disk Max Burst IOPS,Maximum IOPS OS Disk can achieve with bursting,TRUE,FALSE,"auto-generated, agc-303",OS Disk Max Burst IOPS,Microsoft.Compute/virtualMachines,3,PT1H,PT30M,Average,GreaterThan,3500.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Disk Read Bytes,Bytes read from disk during monitoring period,TRUE,FALSE,"auto-generated, agc-301",Disk Read Bytes,Microsoft.Compute/virtualMachines,3,PT5M,PT1M,Total,GreaterThan,4000000000.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,OS Disk Write Operations/Sec,Write IOPS from a single disk during monitoring period for OS disk,TRUE,FALSE,"auto-generated, agc-291",OS Disk Write Operations/Sec,Microsoft.Compute/virtualMachines,2,PT5M,PT1M,Average,GreaterThan,200.0,StaticThresholdCriterion,,,,,,,
DocumentDB,databaseAccounts,TotalRequests,Number of requests made,TRUE,FALSE,"auto-generated, agc-10210, rag",TotalRequests,Microsoft.DocumentDB/databaseAccounts,3,PT5M,PT1M,Count,GreaterOrLessThan,,DynamicThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""StatusCode"", ""values"": [""429""]}]",Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts
https://learn.microsoft.com/azure/cosmos-db/monitor-reference#request-metrics
https://learn.microsoft.com/azure/cosmos-db/insights-overview#insights-overview"
DocumentDB,databaseAccounts,NormalizedRUConsumption,Max RU consumption percentage per minute,TRUE,FALSE,"auto-generated, agc-7686, rag",NormalizedRUConsumption,Microsoft.DocumentDB/databaseAccounts,3,PT5M,PT1M,Average,GreaterThan,70.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/cosmos-db/monitor-normalized-request-units
https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts"
DocumentDB,databaseAccounts,ServiceAvailability,"Account requests availability at one hour, day or month granularity",TRUE,TRUE,"auto-generated, agc-5578, rag",ServiceAvailability,Microsoft.DocumentDB/databaseAccounts,2,PT1H,PT1M,Average,LessThan,99.9,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts
https://learn.microsoft.com/azure/cosmos-db/monitor-reference#availability-metrics"
DocumentDB,databaseAccounts,TotalRequestUnits,SQL Request Units consumed,TRUE,FALSE,"auto-generated, agc-3381, rag",TotalRequestUnits,Microsoft.DocumentDB/databaseAccounts,2,PT5M,PT1M,Total,GreaterThan,100.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""StatusCode"", ""values"": [""429""]}]",,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts
https://learn.microsoft.com/azure/cosmos-db/monitor-reference#request-unit-metrics
https://learn.microsoft.com/azure/cosmos-db/monitor-request-unit-usage"
DocumentDB,databaseAccounts,ServerSideLatency,Server Side Latency,TRUE,FALSE,"auto-generated, agc-2201, rag",ServerSideLatency,Microsoft.DocumentDB/databaseAccounts,3,PT5M,PT1M,Average,GreaterThan,100.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts
https://learn.microsoft.com/azure/cosmos-db/monitor-reference#latency-metrics"
DocumentDB,databaseAccounts,ProvisionedThroughput,Provisioned Throughput,TRUE,FALSE,"auto-generated, agc-1906, rag",ProvisionedThroughput,Microsoft.DocumentDB/databaseAccounts,3,PT1H,PT1M,Maximum,GreaterThan,3000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts
https://learn.microsoft.com/azure/cosmos-db/monitor-reference#request-unit-metrics"
DocumentDB,databaseAccounts,RegionFailover,Region Failed Over,TRUE,TRUE,"auto-generated, agc-1531, rag",RegionFailover,Microsoft.DocumentDB/databaseAccounts,2,PT5M,PT1M,Count,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts"
DocumentDB,databaseAccounts,UpdateAccountKeys,Account Keys Updated,TRUE,TRUE,"auto-generated, agc-1232, rag",UpdateAccountKeys,Microsoft.DocumentDB/databaseAccounts,2,PT5M,PT5M,Count,GreaterThan,0.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""KeyType"", ""values"": [""*""]}]",,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts
https://learn.microsoft.com/azure/cosmos-db/monitor-account-key-updates"
DocumentDB,databaseAccounts,DataUsage,Total data usage reported at 5 minutes granularity,TRUE,TRUE,"auto-generated, agc-707, rag",DataUsage,Microsoft.DocumentDB/databaseAccounts,3,PT1H,PT15M,Average,GreaterOrLessThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,
DocumentDB,databaseAccounts,MongoRequests,Number of Mongo Requests Made,TRUE,TRUE,"auto-generated, agc-518, rag",MongoRequests,Microsoft.DocumentDB/databaseAccounts,3,PT5M,PT1M,Count,GreaterOrLessThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts
https://learn.microsoft.com/azure/cosmos-db/monitor-reference#request-metrics"
DocumentDB,databaseAccounts,RemoveRegion,Region Removed,TRUE,FALSE,"auto-generated, agc-448, rag",RemoveRegion,Microsoft.DocumentDB/databaseAccounts,3,PT15M,PT5M,Count,GreaterThanOrEqual,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts"
DocumentDB,databaseAccounts,ReplicationLatency,P99 Replication Latency across source and target regions for geo-enabled account,TRUE,TRUE,"auto-generated, agc-390, rag",ReplicationLatency,Microsoft.DocumentDB/databaseAccounts,3,PT15M,PT5M,Average,GreaterThan,5000.0,StaticThresholdCriterion,,,,,,,
DocumentDB,databaseAccounts,SqlContainerDelete,Sql Container Deleted,TRUE,FALSE,"auto-generated, agc-364, rag",SqlContainerDelete,Microsoft.DocumentDB/databaseAccounts,2,PT15M,PT5M,Count,GreaterThanOrEqual,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts"
DocumentDB,databaseAccounts,OfflineRegion,Region Offlined,TRUE,FALSE,"auto-generated, agc-304, rag",OfflineRegion,Microsoft.DocumentDB/databaseAccounts,3,PT5M,PT1M,Count,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
DocumentDB,databaseAccounts,SqlDatabaseDelete,Sql Database Deleted,TRUE,FALSE,"auto-generated, agc-297, rag",SqlDatabaseDelete,Microsoft.DocumentDB/databaseAccounts,2,PT15M,PT5M,Count,GreaterThanOrEqual,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/cosmos-db/monitor?tabs=azure-diagnostics
https://learn.microsoft.com/azure/cosmos-db/create-alerts"
AVS,privateClouds,DiskUsedPercentage,Percent of available disk used in Datastore,TRUE,FALSE,"auto-generated, agc-451",DiskUsedPercentage,Microsoft.AVS/privateClouds,2,PT30M,PT5M,Average,GreaterThan,75.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""dsname"", ""values"": [""*""]}]",,,,,,
AVS,privateClouds,UsageAverage,Memory usage as percentage of total configured or available memory,TRUE,FALSE,"auto-generated, agc-278",UsageAverage,Microsoft.AVS/privateClouds,2,PT30M,PT5M,Average,GreaterThan,80.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""clustername"", ""values"": [""*""]}]",,,,,,
AVS,privateClouds,CPU,CPU Usage per Cluster,TRUE,FALSE,avs-landingzone,EffectiveCpuAverage,Microsoft.AVS/privateClouds,2,PT30M,PT5M,Average,GreaterThan,80.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""clustername"", ""values"": [""*""]}]",,,,,,
AVS,privateClouds,CPUCritical,CPU Usage per Cluster (Critical),TRUE,FALSE,avs-landingzone,EffectiveCpuAverage,Microsoft.AVS/privateClouds,0,PT30M,PT5M,Average,GreaterThan,95.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""clustername"", ""values"": [""*""]}]",,,,,,
AVS,privateClouds,Memory,Memory Usage per Cluster,TRUE,FALSE,avs-landingzone,UsageAverage,Microsoft.AVS/privateClouds,2,PT30M,PT5M,Average,GreaterThan,80.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""clustername"", ""values"": [""*""]}]",,,,,,
AVS,privateClouds,MemoryCritical,Memory Usage per Cluster (Critical),TRUE,FALSE,avs-landingzone,UsageAverage,Microsoft.AVS/privateClouds,0,PT30M,PT5M,Average,GreaterThan,95.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""clustername"", ""values"": [""*""]}]",,,,,,
AVS,privateClouds,Storage,Storage Usage per Datastore,TRUE,FALSE,avs-landingzone,DiskUsedPercentage,Microsoft.AVS/privateClouds,2,PT30M,PT5M,Average,GreaterThan,70.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""dsname"", ""values"": [""*""]}]",,,,,,
SignalRService,SignalR,ConnectionCount,The amount of user connection.,TRUE,FALSE,"auto-generated, agc-450",ConnectionCount,Microsoft.SignalRService/SignalR,2,PT5M,PT1M,Maximum,GreaterThan,900.0,StaticThresholdCriterion,,,,,,,
EventHub,namespaces,IncomingMessages,Incoming Messages for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-9598",IncomingMessages,Microsoft.EventHub/namespaces,3,PT6H,PT1H,Total,GreaterThan,0.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""EntityName"", ""values"": [""application-logs""]}]",,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,OutgoingMessages,Outgoing Messages for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-8753",OutgoingMessages,Microsoft.EventHub/namespaces,3,PT6H,PT1H,Total,LessThan,1.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""EntityName"", ""values"": [""application-logs""]}]",,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,ThrottledRequests,Throttled Requests for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-7480",ThrottledRequests,Microsoft.EventHub/namespaces,3,PT15M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,ServerErrors,Server Errors for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-4871",ServerErrors,Microsoft.EventHub/namespaces,3,PT5M,PT5M,Total,GreaterThan,5.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,UserErrors,User Errors for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-2637",UserErrors,Microsoft.EventHub/namespaces,3,PT5M,PT5M,Total,GreaterThan,5.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
